# Below is the color table for a lobar parcellation obtained from running:
# mri_annotation2label --subject subject --hemi lh --lobesStrict lobes
# mri_annotation2label --subject subject --hemi rh --lobesStrict lobes
# mri_aparc2aseg --s subject --rip-unknown --volmask \
#   --o aparc.lobes.mgz --annot lobes \
#   --base-offset 300 [--base-offset must be last arg]

1301    ctx-lh-frontal-lobe                  25  100 40  0
1303    ctx-lh-cingulate-lobe                100 25  0   0
1304    ctx-lh-occipital-lobe                120 70  50  0
1305    ctx-lh-temporal-lobe                 220 20  100 0
1306    ctx-lh-parietal-lobe                 220 20  10  0
1307    ctx-lh-insula-lobe                   255 192 32  0

2301    ctx-rh-frontal-lobe                  25  100 40  0
2303    ctx-rh-cingulate-lobe                100 25  0   0
2304    ctx-rh-occipital-lobe                120 70  50  0
2305    ctx-rh-temporal-lobe                 220 20  100 0
2306    ctx-rh-parietal-lobe                 220 20  10  0
2307    ctx-rh-insula-lobe                   255 192 32  0
